Algoritmo,P,Muestras,Tiempo_Prom(s),Tiempo_Dev,Ops_Prom,Ops_Dev,Calls_Prom,Calls_Dev
Formula_Math,1287,20,0.0031495200004428626,0.00053246806288099,1358.0,0.0,1276.0,0.0
Memoizacion,1287,20,0.00022589999716728925,1.7046433658739966e-05,70.0,0.0,222.0,0.0
Prog_Dinamica,1287,20,0.005947685004503001,0.0010548990843677445,1400.0,0.0,1482.0,0.0
Formula_Math,1365,20,0.0035252300003776327,0.00025347902624127454,1634.0,0.0,1542.0,0.0
Memoizacion,1365,20,0.00022293999936664476,5.2993541845853524e-05,80.0,0.0,252.0,0.0
Prog_Dinamica,1365,20,0.007400689998758025,0.0008211659876094083,1787.0,0.0,1879.0,0.0
Formula_Math,1716,20,0.004165969998575747,0.0005445274875370116,1383.0,0.0,1300.0,0.0
Memoizacion,1716,20,0.00016906999953789637,2.2611173910535875e-05,71.0,0.0,225.0,0.0
Prog_Dinamica,1716,20,0.005581630003871396,0.0016340120350281364,1457.0,0.0,1540.0,0.0
Formula_Math,1820,20,0.005235854993225075,0.0012936295951986635,1963.0,0.0,1859.0,0.0
Memoizacion,1820,20,0.00021612999844364822,1.6880647357807643e-05,91.0,0.0,286.0,0.0
Prog_Dinamica,1820,20,0.009754785000404808,0.0015648025969694447,2218.0,0.0,2322.0,0.0
Formula_Math,2002,20,0.004765355000563432,0.001414907178321877,1694.0,0.0,1599.0,0.0
Memoizacion,2002,20,0.00016884000069694594,8.597525726197955e-06,82.0,0.0,259.0,0.0
Prog_Dinamica,2002,20,0.007704925001598894,0.0015831485144080309,1861.0,0.0,1956.0,0.0
Formula_Math,2380,20,0.0053201600007014346,0.0008327535368778208,2153.0,0.0,2043.0,0.0
Memoizacion,2380,20,0.0002446199971018359,7.3884809796869685e-06,97.0,0.0,304.0,0.0
Prog_Dinamica,2380,20,0.00919887500058394,0.0016592981126876182,2511.0,0.0,2621.0,0.0
Formula_Math,3003,20,0.004577379996771924,0.0005745484628158223,1721.0,0.0,1625.0,0.0
Memoizacion,3003,20,0.00017334999720333144,9.661237336620756e-06,83.0,0.0,262.0,0.0
Prog_Dinamica,3003,20,0.009762154998315963,0.0020668129757897323,1924.0,0.0,2020.0,0.0
Formula_Math,3060,20,0.006097385004977696,0.001121399072049359,2382.0,0.0,2265.0,0.0
Memoizacion,3060,20,0.0003337950023706071,0.00010069876704159946,104.0,0.0,325.0,0.0
Prog_Dinamica,3060,20,0.01184969500027364,0.0014863934112047535,2896.0,0.0,3013.0,0.0
Formula_Math,3432,20,0.0056579150026664134,0.0007591299461325703,1748.0,0.0,1651.0,0.0
Memoizacion,3432,20,0.0002332800009753555,4.886018463047148e-05,84.0,0.0,265.0,0.0
Prog_Dinamica,3432,20,0.009463014999346342,0.0019194747403386144,1994.0,0.0,2091.0,0.0
Formula_Math,3876,20,0.00867665999539895,0.0016899299447722589,2755.0,0.0,2626.0,0.0
